country,ecosystem,activity,activity_type,project_size_filter,project_size_ha,price_type,country_size_ha,country_code,base_size,project_name,total_cost_npv,total_cost,total_weighted_cost_npv,total_weighted_cost,capex_npv,capex,opex_npv,opex,country_abatement_potential,project_abatement_potential,cost_per_tco2e,cost_per_tco2e_npv,feasibility_analysis_npv,feasibility_analysis,conservation_planning_npv,conservation_planning,data_collection_npv,data_collection,community_representation_npv,community_representation,blue_carbon_project_planning_npv,blue_carbon_project_planning,establishing_carbon_rights_npv,establishing_carbon_rights,validation_npv,validation,implementation_labor_npv,implementation_labor,monitoring_maintenance_npv,monitoring_maintenance,community_benefit_npv,community_benefit,carbon_standard_fees_npv,carbon_standard_fees,baseline_reassessment_npv,baseline_reassessment,mrv_npv,mrv,long_term_project_operating_npv,long_term_project_operating,initial_price_assumption,leftover_after_opex,leftover_after_opex_npv,total_revenue,total_revenue_npv,credits_issued,monitoring_npv,maintenance_npv,monitoring,maintenance
The Bahamas,Mangrove,Restoration,Planting,Small,100,Market price,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Planting Small,6369093,8191847,4.758175494859492,6.119905244441908,3882949,4285867,2486144,3905980,103498,12619,631,631,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,2368731,2664500,949890,1331859,179008,302103,1220,2019,75812,120000,223062,400000,1057153,1750000,30,-3550565,-2275547,355415,210597,10095,402322,547568,666000,665859
The Bahamas,Mangrove,Restoration,Hydrology,Small,100,Market price,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Hydrology Small,8078023,10208950,6.034870441601552,7.626827825915842,5173416,5737467,2904607,4471483,103498,21032,480,480,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,3659198,4116100,1248201,1694613,298346,503505,2033,3365,75812,120000,223062,400000,1057153,1750000,30,-3879125,-2553612,592358,350995,16826,402322,845879,666000,1028613
The Bahamas,Mangrove,Restoration,Planting,Medium,500,Opex breakeven,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Planting Medium,42792911,64190790,31.96941549980557,47.95518670769476,13130109,14943867,29662801,49246923,103498,61519,870,870,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,11615891,13322500,3087511,3995293,25213381,42971788,5883,9843,75812,120000,223062,400000,1057153,1750000,872.3155866870702,1308121,0,50555044,29662801,49215,402322,2685189,666000,3329293
The Bahamas,Mangrove,Restoration,Hydrology,Medium,500,Opex breakeven,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Hydrology Medium,58899781,87435175,44.00241833598452,65.32043213590244,19458361,22201867,39441419,65233308,103498,102531,718,718,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,17944144,20580500,4550381,5809067,33525206,57137837,9805,16405,75812,120000,223062,400000,1057153,1750000,695.9295123127752,1987676,0,67220984,39441419,82025,402322,4148059,666000,5143067
The Bahamas,Mangrove,Restoration,Planting,Medium,500,Market price,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Planting Medium,18446649,22696855,13.78098784773191,16.95620071356771,13130109,14943867,5316539,7752988,103498,61519,375,375,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,11615891,13322500,3087511,3995293,867119,1477852,5883,9843,75812,120000,223062,400000,1057153,1750000,30,-6014338,-4296399,1738650,1020140,49215,402322,2685189,666000,3329293
The Bahamas,Mangrove,Restoration,Hydrology,Medium,500,Market price,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Hydrology Medium,26819773,32760426,20.03632018974982,24.47441985764029,19458361,22201867,7361412,10558559,103498,102531,327,327,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,17944144,20580500,4550381,5809067,1445198,2463087,9805,16405,75812,120000,223062,400000,1057153,1750000,30,-7660809,-5661179,2897750,1700233,82025,402322,4148059,666000,5143067
The Bahamas,Mangrove,Restoration,Planting,Large,1000,Opex breakeven,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Planting Large,70193818,106242953,52.43988503515761,79.37120960019091,23946616,28346367,46247202,77896586,103498,116728,752,752,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,22355436,26645000,5570118,7324586,39310121,68283324,10935,18676,75812,120000,223062,400000,1057153,1750000,725.6229753970966,2436737,0,80333323,46247202,93382,402322,5167796,666000,6658586
The Bahamas,Mangrove,Restoration,Hydrology,Large,1000,Opex breakeven,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Hydrology Large,101190678,152183136,75.59679288209757,113.6918660861239,36125693,42862367,65064985,109320770,103498,194546,650,650,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,34534513,41161000,8385496,10952134,55305236,96067508,18226,31127,75812,120000,223062,400000,1057153,1750000,612.5254608026036,3699828,-1,113020598,65064984,155637,402322,7983174,666000,10286134
The Bahamas,Mangrove,Restoration,Planting,Large,1000,Market price,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Planting Large,32508926,40782720,24.28653107395364,30.46765668482405,23946616,28346367,8562310,12436353,103498,116728,348,348,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,22355436,26645000,5570118,7324586,1625229,2823091,10935,18676,75812,120000,223062,400000,1057153,1750000,30,-9115069,-6650276,3321284,1912034,93382,402322,5167796,666000,6658586
The Bahamas,Mangrove,Restoration,Hydrology,Large,1000,Market price,1338557.816306033,BHS,500,The Bahamas Mangrove Restoration Hydrology Large,48594157,60820780,36.30336800400855,45.4375442428365,36125693,42862367,12468464,17958413,103498,194546,312,312,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,34534513,41161000,8385496,10952134,2708715,4705152,18226,31127,75812,120000,223062,400000,1057153,1750000,30,-12422940,-9281740,5535473,3186724,155637,402322,7983174,666000,10286134
